Level	Exp	trungsinh_0	trung_sinh_1	trung_sinh_2	trung_sinh_3	trung_sinh_4	trung_sinh_5	trung_sinh_6	trung_sinh_7	trung_sinh_8	trung_sinh_9	trung_sinh_10
1	100											
2	800											
3	1100											
4	1900											
5	2900											
6	4100											
7	5500											
8	7100											
9	8900											
10	10900											
11	13100											
12	15700											
13	18700											
14	22100											
15	25900											
16	30100											
17	34700											
18	39700											
19	45100											
20	50900											
21	57100											
22	63900											
23	71300											
24	79300											
25	87900											
26	97100											
27	106900											
28	117300											
29	128300											
30	139900											
31	152100											
32	165400											
33	179800											
34	195300											
35	211900											
36	229600											
37	248400											
38	268300											
39	289300											
40	311400											
41	334600											
42	360400											
43	388800											
44	419800											
45	453400											
46	489600											
47	528400											
48	569800											
49	613800											
50	660400											
51	709600											
52	766000											
53	829600											
54	900400											
55	978400											
56	1063600											
57	1156000											
58	1255600											
59	1362400											
60	1476400											
61	1597600											
62	1738200											
63	1898200											
64	2077600											
65	2276400											
66	2494600											
67	2732200											
68	2989200											
69	3265600											
70	3561400											
71	3876600											
72	4240200											
73	4652200											
74	5112600											
75	5621400											
76	6178600											
77	6784200											
78	7438200											
79	8140600											
80	100000000											
81	100000000											
82	150000000											
83	200000000											
84	250000000											
85	300000000											
86	350000000											
87	400000000											
88	500000000											
89	650000000											
90	650000000											
91	800000000											
92	800000000											
93	1100000000											
94	1100000000											
95	1300000000											
96	1400000000											
97	1500000000											
98	1500000000											
99	1500000000											
100	1600000000											
101	1610000000								15000	45000	45000	45000
102	1620000000								15000	45000	45000	45000
103	1630000000								15000	45000	45000	45000
104	1640000000								15000	45000	45000	45000
105	1650000000								15000	45000	45000	45000
106	1660000000								15000	45000	45000	45000
107	1670000000								15000	45000	45000	45000
108	1680000000								15000	45000	45000	45000
109	1690000000								15000	45000	45000	45000
110	1700000000								15000	94000	94000	94000
111	1710000000								34000	94000	94000	94000
112	1720000000								34000	94000	94000	94000
113	1730000000								34000	94000	94000	94000
114	1740000000								34000	94000	94000	94000
115	1750000000								34000	94000	94000	94000
116	1760000000								34000	94000	94000	94000
117	1770000000								34000	94000	94000	94000
118	1780000000								34000	94000	94000	94000
119	1790000000								34000	94000	94000	94000
120	1800000000								34000	190000	190000	190000
121	1810000000								50000	190000	190000	190000
122	1820000000								50000	190000	190000	190000
123	1830000000								50000	190000	190000	190000
124	1840000000								50000	190000	190000	190000
125	1850000000								50000	188000	188000	388000
126	1860000000								68000	188000	188000	388000
127	1870000000								68000	188000	188000	388000
128	1880000000								68000	188000	188000	388000
129	1890000000								68000	188000	188000	388000
130	1900000000		16000	48000	64000	0	0	0	68000	384000	384000	584000
131	1910000000		16000	48000	64000	144000	144000	144000	224000	384000	384000	584000
132	1920000000		16000	48000	64000	144000	144000	144000	224000	384000	384000	584000
133	1930000000		16000	48000	64000	144000	144000	144000	224000	384000	384000	584000
134	1940000000		16000	48000	64000	144000	144000	144000	224000	384000	384000	584000
135	1950000000		20000	60000	80000	140000	140000	140000	220000	380000	380000	780000
136	1960000000		20000	60000	80000	180000	180000	180000	280000	380000	380000	780000
137	1970000000		20000	60000	80000	180000	180000	180000	280000	380000	380000	780000
138	1980000000		20000	60000	80000	180000	180000	180000	280000	380000	380000	780000
139	1990000000		20000	60000	80000	180000	180000	180000	280000	380000	380000	780000
140	2000000000		30000	90000	120000	170000	170000	170000	270000	770000	770000	970000
141	2000000000		30000	90000	120000	270000	270000	270000	395000	770000	770000	970000
142	2000000000		30000	90000	120000	270000	270000	270000	395000	770000	770000	970000
143	2000000000		30000	90000	120000	270000	270000	270000	395000	770000	770000	970000
144	2000000000		30000	90000	120000	270000	270000	270000	395000	770000	770000	970000
145	2000000000		50000	150000	200000	250000	250000	250000	375000	750000	750000	1950000
146	2000000000		50000	150000	200000	450000	450000	450000	625000	750000	750000	1950000
147	2000000000		50000	150000	200000	450000	450000	450000	625000	750000	750000	1950000
148	2000000000		50000	150000	200000	450000	450000	450000	625000	750000	750000	1950000
149	2000000000		50000	150000	200000	450000	450000	450000	625000	750000	750000	1950000
150	2000000000		80000	240000	320000	420000	420000	420000	595000	1920000	1920000	3920000
151	2000000000		80000	240000	320000	720000	720000	720000	945000	1920000	1920000	3920000
152	2000000000		80000	240000	320000	720000	720000	720000	945000	1920000	1920000	3920000
153	2000000000		80000	240000	320000	720000	720000	720000	945000	1920000	1920000	3920000
154	2000000000		80000	240000	320000	720000	720000	720000	945000	1920000	1920000	3920000
155	2000000000		120000	360000	480000	680000	680000	680000	905000	3880000	3880000	5880000
156	2000000000		120000	360000	480000	1080000	1080000	1080000	1355000	3880000	3880000	5880000
157	2000000000		120000	360000	480000	1080000	1080000	1080000	1355000	3880000	3880000	5880000
158	2000000000		120000	360000	480000	1080000	1080000	1080000	1355000	3880000	3880000	5880000
159	2000000000		120000	360000	480000	1080000	1080000	1080000	1355000	3880000	3880000	5880000
160	2000000000		180000	540000	720000	1020000	1020000	1020000	1295000	5820000	5820000	7820000
